dataset,n_reference,n_test,n_anomaly,anomaly_prevalence,auroc,auprc,f1_oracle_prevalence,seed,context_size,projections,condition,projection_strategy,fit_seconds,score_seconds,total_seconds,cold_start
pima,250,518,268,0.5173745173745173,0.7214776119402985,0.7358310338580856,0.7014925373134329,1,200,8,evenly_spaced_seed1,evenly_spaced,0.0004152919864282012,7.090332209016196,7.090747501002625,False
thyroid,1839,1933,93,0.04811174340403518,0.9911874707807387,0.8659473498775477,0.7956989247311828,1,200,6,evenly_spaced_seed1,evenly_spaced,0.0006398339755833149,12.679536874988116,12.6801767089637,False
breastw,222,461,239,0.5184381778741866,0.9972671416186061,0.997371191329673,0.9832635983263598,1,200,8,evenly_spaced_seed1,evenly_spaced,0.000679834047332406,4.0342416249914095,4.034921459038742,False
WDBC,178,189,10,0.05291005291005291,1.0,0.9999999999999999,1.0,1,178,8,evenly_spaced_seed1,evenly_spaced,0.000494041945785284,5.595078874961473,5.595572916907258,False
Parkinson,24,171,147,0.8596491228070176,0.731859410430839,0.9469746899008703,0.8843537414965986,1,24,8,evenly_spaced_seed1,evenly_spaced,0.00046487501822412014,2.731499833986163,2.7319647090043873,False
lympho,71,77,6,0.07792207792207792,0.9694835680751174,0.7436868686868686,0.6666666666666666,1,71,8,evenly_spaced_seed1,evenly_spaced,0.0004053330048918724,1.9582293750718236,1.9586347080767155,False
wbc,178,200,21,0.105,0.9672785315243416,0.8515952579862358,0.7619047619047619,1,178,8,evenly_spaced_seed1,evenly_spaced,0.0005839999066665769,6.610327416914515,6.610911416821182,False
glass,102,112,9,0.08035714285714286,0.639697950377562,0.15584687315551712,0.1111111111111111,1,102,8,evenly_spaced_seed1,evenly_spaced,0.0007098750211298466,2.0515382080338895,2.0522480830550194,False
ionosphere,112,239,126,0.5271966527196653,0.9558926815563983,0.9689663390174068,0.8888888888888888,1,112,8,evenly_spaced_seed1,evenly_spaced,0.0004707910120487213,5.867534832912497,5.868005623924546,False
satimage-2,2866,2937,71,0.02417432754511406,0.9986043265875786,0.9746149505111018,0.9295774647887324,1,200,8,evenly_spaced_seed1,evenly_spaced,0.0010249170009046793,56.28404333302751,56.28506825002842,False
SpamBase,1264,2943,1679,0.5705062861026163,0.8182372908829094,0.8508775268197242,0.7843954734961287,1,200,8,evenly_spaced_seed1,evenly_spaced,0.0007777500431984663,79.48112179199234,79.48189954203553,False
shuttle,22793,26304,3511,0.13347779805352797,0.9987190198892679,0.9912125908311298,0.976929649672458,1,200,8,evenly_spaced_seed1,evenly_spaced,0.004787125042639673,262.63549341703765,262.6402805420803,False
campaign,18274,22914,4640,0.20249629047743736,0.7387540664520535,0.437962425837807,0.5051724137931034,1,200,8,evenly_spaced_seed1,evenly_spaced,0.00650924991350621,1354.0536027090857,1354.0601119589992,False
Hepatitis,33,47,13,0.2765957446808511,0.8212669683257918,0.6580530271706744,0.6923076923076923,2,33,8,evenly_spaced_seed2,evenly_spaced,2.4057011250406504,5.535436792066321,7.941137917106971,True
pima,250,518,268,0.5173745173745173,0.723865671641791,0.7395864479447205,0.6791044776119403,2,200,8,evenly_spaced_seed2,evenly_spaced,0.0004175830399617553,18.51994124997873,18.52035883301869,False
